id,date,text,permalink,brand
922878896105820160,2017-10-24 19:34,jaime une vidéo  youtube   xiaomi power bank 2 20000 mah battery pack laptops  ipad smart phones  à ladress,https://twitter.com/walid234/status/922878896105820160,Xiaomi
922865060313288705,2017-10-24 18:39,hopefully eis  first  xiaomiarabia phone think could best phone  future update ,https://twitter.com/Aymahalawa/status/922865060313288705,Xiaomi
922851549340143616,2017-10-24 17:45,also xiaomi made bezeless phone last year  mi mix,https://twitter.com/subistefanos/status/922851549340143616,Xiaomi
922849690672021504,2017-10-24 17:38,jio phone explosion  whatsapp group calls  xiaomi redmi note 5   360 daily http  saituchfashionblogspotcom201710jiophoneexplosionwhatsappgrouphtml …,https://twitter.com/Nsaishankarcha2/status/922849690672021504,Xiaomi
922848579257012224,2017-10-24 17:33,xiaomi mi mix 2 review  phone performance  pricing design  livemint  http  bitly2i1rjki,https://twitter.com/fusioneletronix/status/922848579257012224,Xiaomi
922827100796669953,2017-10-24 16:08,xiaomi mi mix 2 review  phone performance  pricing design http  ifttt2zz5gho,https://twitter.com/shalin5960/status/922827100796669953,Xiaomi
922827055594639361,2017-10-24 16:08,xiaomi mi mix 2 review  phone performance  pricing design http  wwwlivemintcomleisuretajl5al64gr2flrml6cnxhxiaomimimix2reviewaphoneforperformancepricingandhtml …pictwittercom6zqdfqj1sc,https://twitter.com/allstartupsin/status/922827055594639361,Xiaomi
922826819291832320,2017-10-24 16:07,xiaomi mi mix 2 review  phone performance  pricing design,https://twitter.com/AficionadoYash/status/922826819291832320,Xiaomi
922826376696225793,2017-10-24 16:05,xiaomi mi mix 2 review  phone performance  pricing design http  bitly2zk8l8p,https://twitter.com/IAS_Gurukul/status/922826376696225793,Xiaomi
922812671115722753,2017-10-24 15:11,midrange phone   oppo  12k   xiaomi mi a1  j7pro nova 2i  pero kung papapiliin mo ako  nova2i  syempre may mga proscon,https://twitter.com/im_rok/status/922812671115722753,Xiaomi
922798380274868224,2017-10-24 14:14,xiaomi mi mix 2 review  phone performance  pricing design http  bitly2gy9yxw,https://twitter.com/livemint/status/922798380274868224,Xiaomi
922795504777302018,2017-10-24 14:02,dear xiaomi love still using redmi note 4g s awesome satisfied phone thank,https://twitter.com/IndianIndian18/status/922795504777302018,Xiaomi
922780958985805824,2017-10-24 13:04,jio phone explosion  whatsapp group calls  xiaomi redmi note 5   360 daily http  blogwewezcomjiophoneexplosionwhatsappgroupcallsxiaomiredminote5andmoreyour360daily …,https://twitter.com/wewezcom/status/922780958985805824,Xiaomi
922767034185785344,2017-10-24 12:09, dirac  company s tuning  bentley   bmw  volvo years  tweaking sound various  xiaomi phones  pictwittercomi7gcboflml,https://twitter.com/beebomco/status/922767034185785344,Xiaomi
922682160175374337,2017-10-24 06:32,jio phone explosion  whatsapp group calls  xiaomi redmi note 5   360 daily https  techjokerscom20171024jiophoneexplosionwhatsappgroupcallsxiaomiredminote5andmoreyour360daily …,https://twitter.com/TechJokers/status/922682160175374337,Xiaomi
922682154227830784,2017-10-24 06:32,jio phone explosion  whatsapp group calls  xiaomi redmi note 5   360 daily https  techjokerscom20171024jiophoneexplosionwhatsappgroupcallsxiaomiredminote5andmoreyour360daily …,https://twitter.com/SalmanRKI/status/922682154227830784,Xiaomi
922671599836209153,2017-10-24 05:50,ur videos getting smaller please teardown xiaomi phones like mid rangers flagship,https://twitter.com/samsharma1690/status/922671599836209153,Xiaomi
922660219951468545,2017-10-24 05:05,jio phone explosion  whatsapp group calls  xiaomi redmi note 5   360 daily  http  bitly2ximsqb pictwittercomm5hf6dnalx,https://twitter.com/Gadgetaholic/status/922660219951468545,Xiaomi
