username;date;text;hashtags;id;permalink,,,,,,,,,,,,
";2017-12-29 21:10;""@ SamsungMobileUS @ SamsungUS I'm so done with this company and their phones. Luckily"," Huawei is just as good--they just don't have the same name recognition."";;""946835936247152642"";https://twitter.com/ChrissBeme/status/946835936247152642",,,,,,,,,,,
";2017-12-29 19:37;""There is NO 60k Android ph that's better than an iPhone... Admittedly", Android phones may have features d X doesn't hv cos Android is Android Pixel XL, Huawei Mate Pro, SE XZ Premium, One+5t, S8," Note 8 are the best Android Flagships and the least (5+) is well over 180k https://twitter.com/king_adze/status/946719977972948992 �?;;""946812339617239045"";https://twitter.com/OnimoleOfLagos/status/946812339617239045",,,,,,
";2017-12-29 19:25;""@ HuaweiMobileUK @ HuaweiMobile why does my mobile turn off at 2% and then when I put it on charge immediately after the phone has died it says 35%charging???"";;""946809495438659584"";https://twitter.com/Nick_LCFC_fan_1/status/946809495438659584",,,,,,,,,,,,
";2017-12-29 19:10;""why aren't my push notifications working on my Nova plus @ HuaweiMobile I just did priority notifications and restarted my phone and still nothing"";;""946805755960627200"";https://twitter.com/itsjahnina/status/946805755960627200",,,,,,,,,,,,
";2017-12-29 18:50;""For laptop I go with Asus and for phones Android is my passion"," in terms of brand I'm not sure but around here Huawei is considered a good smartphone!"";;""946800571977207809"";https://twitter.com/AlexaCondesso/status/946800571977207809",,,,,,,,,,,
";2017-12-29 18:45;""Huawei Mate 9 with Amazon Alexa and Leica Dual Camera - 64GB Unlocked Phone -... http://aega.erdemoon.info/US/categories/twt/?item=162826483094 �?;;""946799264767803392"";https://twitter.com/Health44Care/status/946799264767803392",,,,,,,,,,,,
";2017-12-29 18:37;""Its just a basic outline to tease. It's the official launch of Huawei and thier Mate 10 Pro in the US market. This is the phone. pic.twitter.com/Q2nIZRVo9E"";;""946797311870554112"";https://twitter.com/JeepnutHarris/status/946797311870554112",,,,,,,,,,,,
";2017-12-29 18:30;""I have a Huawei Honor and I'm pleased with my unlocked Android phone. Much less expensive! @ HuaweiMobile"";;""946795586044428288"";https://twitter.com/bferrigno/status/946795586044428288",,,,,,,,,,,,
";2017-12-29 18:19;""Mine is still broken. And I can't get huawei to email me back or anything after 2 months. It's still under warrenty. Do not buy this phone. The camera is the best part. The company ignores their customers when an issue pops up that is their fault."";;""946792845309968384"";https://twitter.com/6_4_3DoublePlay/status/946792845309968384",,,,,,,,,,,,
";2017-12-29 18:19;""Just saw a subway ad for Huawei with the tag line ""the best phone you've never heard of"" and I kinda love Huawei marketing now"";;""946792815652212736"";https://twitter.com/ronxo/status/946792815652212736",,,,,,,,,,,,
";2017-12-29 17:54;""I had suspected this slowdown"," which is partly why my husband and I left @ Apple after being long term customers - I bought a Huawei phone instead. Took a short bit of time to get the hang of android but couldn't be happier with my choice! https://twitter.com/Reuters/status/946680851064029184 �?;;""946786448522579969"";https://twitter.com/Moji_sola/status/946786448522579969",,,,,,,,,,,
";2017-12-29 16:43;""Self Portrait (detail). Shot with a Huawei P8 lite cell phone camera"," with only contrast and values edited on... https://fb.me/LHa6WdVm"";;""946768653885853696"";https://twitter.com/marcogmoura/status/946768653885853696",,,,,,,,,,,
";2017-12-29 16:43;""Self Portrait (detail). Shot with a Huawei P8 lite cell phone camera"," with only contrast and�?https://www.instagram.com/p/BdSqEjihGmE/"";;""946768575007686656"";https://twitter.com/marcogmoura/status/946768575007686656",,,,,,,,,,,
";2017-12-29 16:29;""Samsung and Huawei are better phones"";;""946765095237021696"";https://twitter.com/masango1/status/946765095237021696",,,,,,,,,,,,
";2017-12-29 16:28;""Thanks for the lack of information and interest you have shown. Returning my phone."";;""946764828248481793"";https://twitter.com/scottieaf/status/946764828248481793",,,,,,,,,,,,
";2017-12-29 16:08;""Or better yet", I feel it's not really worth my $$$ so more of functionality + practicality? With a fraction of any recent iPhone model's price," I can buy Android phones such as Huawei that have little to no battery probs and look and feel better relative to other Android brands."";;""946759802197196800"";https://twitter.com/patricecinnamon/status/946759802197196800",,,,,,,,,,
";2017-12-29 15:58;""As my iphone5 sputters and halts I am seriously considering a @ HuaweiMobileCAN phone. Best res I have seen. And no # batterygate # huawei"";# #;""946757353902194694"";https://twitter.com/KasieSavage/status/946757353902194694",,,,,,,,,,,,
";2017-12-29 15:57;""And that’s the reason why my next phone will be a Samsung or a Huawei they have a memory slot and plus cheaper https://twitter.com/samwillz_/status/946754454946230277 �?;;""946757146460545024"";https://twitter.com/VUruburu/status/946757146460545024",,,,,,,,,,,,
";2017-12-29 15:55;""I wish @ googlenexus @ HuaweiMobileCAN @ HuaweiMobile would stand behind their phones. The Nexus 6P has a known battery issue. I had the phone and experienced it and my friend has the phone and is experiencing it. For him the phone dies at 40%"";;""946756657689788418"";https://twitter.com/BooFA1010/status/946756657689788418",,,,,,,,,,,,
";2017-12-29 15:50;""Hi Dave", yes, the phone has an oleophobic coating which helps keep the phone screen clean. Additionally, the phones are equipped with protective films in order to prevent scratches and impact to the screen during daily use. Bets regards," Huawei"";;""946755354637012992"";https://twitter.com/HuaweiMobileUK/status/946755354637012992",,,,,,,,
